0.png	体所有制皮毛购销、农
988.png	、法规未规定审批的，
989.png	03543210安徽
990.png	吊销，未注销吊销，未
991.png	行道砖、路沿石、空心
992.png	0834030023
993.png	07-27集体所有制
994.png	1.69安徽省蚌埠市
995.png	业）2012-06-
996.png	-07-113400
997.png	8-08-30199
998.png	ing1102291
999.png	有控股)金属软管、波
